tv,hl,wa,seed,epochs,model_type,theta_index
0.1910000309944153,0.3091165180531706,0.1028824811067862,1,440,NormalizingFlow,4
0.2590000047683716,0.3599773916797026,0.1244962044273424,1,480,NormalizingFlow,0
0.4120000190734864,0.4333329006045795,0.173611507364409,1,480,NormalizingFlow,1
0.3399999976158142,0.365298318524415,0.1516539011712812,1,480,NormalizingFlow,2
0.4390000023841858,0.4197283171656767,0.2232069944806177,1,480,NormalizingFlow,3
0.2119999821186065,0.3265627842880638,0.1101953760690308,1,480,NormalizingFlow,4
0.2839999952316284,0.3624338893850281,0.1243645428381412,1,520,NormalizingFlow,0
0.2879999952316284,0.3694190908582768,0.1294298810355636,1,520,NormalizingFlow,1
0.445000011920929,0.4213862722652725,0.1987255782809232,1,520,NormalizingFlow,2
0.4119999904632568,0.4416305204658988,0.1872918929090094,1,520,NormalizingFlow,3
0.4450000131130218,0.4114808193366756,0.2139326653643947,1,520,NormalizingFlow,4
0.3910000119209289,0.3644079515396119,0.1926377629329184,1,560,NormalizingFlow,0
0.2739999952316284,0.3442578678730872,0.1227535695096702,1,560,NormalizingFlow,1
0.4140000119209289,0.4030537166827591,0.1883226115891161,1,560,NormalizingFlow,2
0.1919999809265136,0.3041737478096775,0.1021685962520092,1,560,NormalizingFlow,3
0.2769999856948852,0.3348116977858104,0.1143934440560339,1,560,NormalizingFlow,4
0.2130000023841858,0.3276760754128578,0.1102009392021269,1,600,NormalizingFlow,0
0.2189999833106994,0.2462221075056683,0.104078243661951,1,600,NormalizingFlow,1
0.311999977350235,0.3402120895041258,0.1407403077563045,1,600,NormalizingFlow,2
0.4170000095367432,0.4403645211814647,0.1820403758457094,1,600,NormalizingFlow,3
0.4040000381469726,0.425095585376676,0.170122619943649,1,600,NormalizingFlow,4
0.2089999821186065,0.2624986063195997,0.0996032489444365,1,640,NormalizingFlow,0
0.63,0.5352772665576532,0.2946774882352217,1,640,NormalizingFlow,1
0.4109999904632568,0.3885711581301922,0.1995054110648422,1,640,NormalizingFlow,2
0.3289999964237213,0.3499956346821689,0.1543168122618884,1,640,NormalizingFlow,3
0.4339999618530273,0.4432790240835979,0.1995570189886372,1,640,NormalizingFlow,4
0.5510000166893005,0.4755186601035081,0.2734380859287668,1,680,NormalizingFlow,0
0.3830000190734863,0.3461669065436822,0.1795272967282432,1,680,NormalizingFlow,1
0.2344343338012695,0.2511571537346819,0.0995312039029865,1,680,NormalizingFlow,2
0.391,0.3798155019727382,0.1825980531579449,1,680,NormalizingFlow,3
0.365999988079071,0.4172342102858858,0.1621632603295894,1,680,NormalizingFlow,4
0.2360000047683715,0.2631922066296488,0.0991430916571793,1,720,NormalizingFlow,0
0.2979999952316284,0.3673725217515202,0.1307255574741667,1,720,NormalizingFlow,1
0.3990000011920929,0.3769168990904628,0.1800670368818876,1,720,NormalizingFlow,2
0.3719999892711639,0.3486992240069359,0.1938994974748701,1,720,NormalizingFlow,3
0.405,0.4124926155978168,0.1857800603815135,1,720,NormalizingFlow,4
0.4670000119209289,0.4292790270246304,0.2317471242677871,1,760,NormalizingFlow,0
0.2100000429153442,0.3197527222467149,0.1090987437253637,1,760,NormalizingFlow,1
0.2159999833106994,0.2814349996507819,0.1028148784973494,1,760,NormalizingFlow,2
0.1750000214576721,0.2772326850958279,0.0941903777292526,1,760,NormalizingFlow,3
0.2710000333786011,0.332176394305707,0.1172902566260039,1,760,NormalizingFlow,4
0.3039999868869781,0.3245199520345105,0.1363224357128058,1,800,NormalizingFlow,0
0.2019999821186065,0.2858276527767963,0.1016001760055287,1,800,NormalizingFlow,1
0.2779999856948852,0.3346797301591855,0.1268794724619397,1,800,NormalizingFlow,2
0.1899999809265136,0.2800035257965204,0.0965432000631247,1,800,NormalizingFlow,3
0.1919999821186065,0.2890551849847668,0.0975706867137561,1,800,NormalizingFlow,4
0.3059999868869781,0.34662118081843,0.1351759328941268,1,840,NormalizingFlow,0
0.4670000238418579,0.433676263073088,0.2204482575419749,1,840,NormalizingFlow,1
0.371,0.3392188269138258,0.1875696669359446,1,840,NormalizingFlow,2
0.2539999928474426,0.3093865520060571,0.1191457898768507,1,840,NormalizingFlow,3
0.4030000202655792,0.3978654866447719,0.1775930638942824,1,840,NormalizingFlow,4
0.2090000429153442,0.2669194866872422,0.0936729075435699,1,880,NormalizingFlow,0
0.39,0.3806158035512305,0.1823352837120351,1,880,NormalizingFlow,1
0.445000022649765,0.3992287491569732,0.2044158625997098,1,880,NormalizingFlow,2
0.407,0.3891385007233276,0.2138814168568448,1,880,NormalizingFlow,3
0.2870000047683716,0.3332985515647206,0.1206040456721226,1,880,NormalizingFlow,4
0.2659999952316284,0.3040996567348067,0.1187228470384828,1,920,NormalizingFlow,0
0.2939999964237213,0.320541065259672,0.1282393146397993,1,920,NormalizingFlow,1
0.3180000166893005,0.354145063245548,0.1374925590289549,1,920,NormalizingFlow,2
0.2250000429153442,0.3014500544776887,0.105595223874476,1,920,NormalizingFlow,3
0.3830000119209289,0.3572340465770863,0.2189695450044011,1,920,NormalizingFlow,4
0.2180000035762787,0.2682110135058668,0.1000318558091227,1,960,NormalizingFlow,0
0.2559999940395355,0.3056885749698339,0.1154339726830572,1,960,NormalizingFlow,1
0.2299999928474426,0.2968674713976774,0.1046158644931786,1,960,NormalizingFlow,2
0.1770000309944153,0.2776197442317719,0.0960852862434259,1,960,NormalizingFlow,3
0.2650000238418579,0.315166718692197,0.1129727145211699,1,960,NormalizingFlow,4
0.1960000035762787,0.2588692848800588,0.0928702241524615,1,1000,NormalizingFlow,0
